/* DATA DESCRIPTION:
Citation:	Holbourn, A et al. (2015): Miocene stable isotope record of benthic foraminifera from IODP Site 321-U1337. doi:10.1594/PANGAEA.839740, 
	In Supplement to: Holbourn, Ann; Kuhnt, Wolfgang; Kochhann, Karlos GD; Andersen, Nils; Meier, KJ Sebastian (2015): Global perturbation of the carbon cycle at the onset of the Miocene Climatic Optimum. Geology, 43(2), 123-126, doi:10.1130/G36317.1
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: http://www.iodp.org/)
Coverage:	LATITUDE: 3.833000 * LONGITUDE: -123.206000
	MINIMUM DEPTH, sediment/rock: 298.130 m * MAXIMUM DEPTH, sediment/rock: 404.930 m
Event(s):	321-U1337 * LATITUDE: 3.833000 * LONGITUDE: -123.206000 * ELEVATION: -4476.0 m * CAMPAIGN: Exp321 (Pacific Equatorial Age Transect II / Juan de Fuca) (URI: doi:10.2204/iodp.proc.320321.2010) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Composite Core (COMPCORE)
Comment:	DEPTH, sediment/rock is given in mbsf.
Parameter(s):	Sample code/label (Label) * PI: Holbourn, Ann (eMail: ah@gpi.uni-kiel.de) * METHOD: ODP sample designation (URI: hdl:10013/epic.27914.d001)
	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Depth, top/min [m] (Depth top) * PI: Holbourn, Ann (eMail: ah@gpi.uni-kiel.de) * COMMENT: mbsf
	Depth, bottom/max [m] (Depth bot) * PI: Holbourn, Ann (eMail: ah@gpi.uni-kiel.de) * COMMENT: mbsf
	Depth, composite top [mcd] (Depth c top) * PI: Holbourn, Ann (eMail: ah@gpi.uni-kiel.de)
	AGE [ka BP] (Age) * GEOCODE
	Foraminifera, benthic d13C [per mil PDB] (Foram bent d13C) * PI: Holbourn, Ann (eMail: ah@gpi.uni-kiel.de) * COMMENT: vs. VPDB
	Foraminifera, benthic d18O [per mil PDB] (Foram bent d18O) * PI: Holbourn, Ann (eMail: ah@gpi.uni-kiel.de) * COMMENT: vs. VPDB
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	6348 data points
*/
Label	Depth [m]	Depth top [m]	Depth bot [m]	Depth c top [mcd]	Age [ka BP]	Foram bent d13C [per mil PDB]	Foram bent d18O [per mil PDB]
321-U1337D-36X-2,122-124	317.230	317.22	317.24	352.13	15622	1.300	1.680
321-U1337D-36X-2,132-134	317.330	317.32	317.34	352.23	15627	1.270	1.720
321-U1337D-36X-2,142-144	317.430	317.42	317.44	352.33	15632	1.410	1.700
321-U1337D-36X-3,2-4	317.530	317.52	317.54	352.43	15637	1.590	1.770
321-U1337D-36X-3,12-14	317.630	317.62	317.64	352.53	15642	1.590	1.750
321-U1337D-36X-3,22-24	317.730	317.72	317.74	352.63	15647	1.450	1.750
321-U1337D-36X-3,32-34	317.830	317.82	317.84	352.73	15652	1.170	1.760
321-U1337D-36X-3,42-44	317.930	317.92	317.94	352.83	15657	1.390	1.720
321-U1337D-36X-3,52-54	318.030	318.02	318.04	352.93	15661	1.380	1.660
321-U1337D-36X-3,62-64	318.130	318.12	318.14	353.03	15666	1.130	1.370
321-U1337D-36X-3,72-74	318.230	318.22	318.24	353.13	15671	1.160	1.370
321-U1337D-36X-3,82-84	318.330	318.32	318.34	353.23	15676	1.200	1.500
321-U1337D-36X-3,92-94	318.430	318.42	318.44	353.33	15681	1.370	1.630
321-U1337D-36X-3,102-104	318.530	318.52	318.54	353.43	15686	1.340	1.700
321-U1337D-36X-3,112-114	318.630	318.62	318.64	353.53	15691	1.190	1.220
321-U1337D-36X-3,122-124	318.730	318.72	318.74	353.63	15696	1.390	1.390
321-U1337D-36X-3,132-134	318.830	318.82	318.84	353.73	15700	1.410	1.390
321-U1337D-36X-3,142-144	318.930	318.92	318.94	353.83	15705	1.250	1.160
321-U1337D-36X-4,2-4	319.030	319.02	319.04	353.93	15710	1.110	1.070
321-U1337D-36X-4,12-14	319.130	319.12	319.14	354.03	15715	1.600	1.450
321-U1337D-36X-4,22-24	319.230	319.22	319.24	354.13	15720	1.310	1.220
321-U1337D-36X-4,32-34	319.330	319.32	319.34	354.23	15726	1.320	1.330
321-U1337D-36X-4,42-44	319.430	319.42	319.44	354.33	15733	1.610	1.740
321-U1337D-36X-4,52-54	319.530	319.52	319.54	354.43	15740	1.620	1.640
321-U1337D-36X-4,62-64	319.630	319.62	319.64	354.53	15747	1.480	1.510
321-U1337D-36X-4,72-74	319.730	319.72	319.74	354.63	15753	1.470	1.580
321-U1337D-36X-4,82-84	319.830	319.82	319.84	354.73	15760	1.630	1.760
321-U1337D-36X-4,92-94	319.930	319.92	319.94	354.83	15767	1.540	1.620
321-U1337D-36X-4,102-104	320.030	320.02	320.04	354.93	15773	1.540	1.520
321-U1337D-36X-4,112-114	320.130	320.12	320.14	355.03	15780	1.640	1.450
321-U1337D-36X-4,122-124	320.230	320.22	320.24	355.13	15787	1.680	1.550
321-U1337D-36X-4,132-134	320.330	320.32	320.34	355.23	15794	1.500	1.460
321-U1337D-36X-4,142-144	320.430	320.42	320.44	355.33	15800	1.340	1.380
321-U1337D-36X-5,2-4	320.530	320.52	320.54	355.43	15804	1.230	1.490
321-U1337D-36X-5,12-14	320.630	320.62	320.64	355.53	15808	1.550	1.650
321-U1337D-36X-5,22-24	320.730	320.72	320.74	355.63	15812	1.480	1.750
321-U1337D-36X-5,32-34	320.830	320.82	320.84	355.73	15816	1.660	1.700
321-U1337D-36X-5,42-44	320.930	320.92	320.94	355.83	15820	1.760	1.500
321-U1337D-36X-5,52-54	321.030	321.02	321.04	355.93	15824	1.720	1.450
321-U1337D-36X-5,62-64	321.130	321.12	321.14	356.03	15828	1.490	1.330
321-U1337D-36X-5,72-74	321.230	321.22	321.24	356.13	15832	1.640	1.650
321-U1337D-36X-5,82-84	321.330	321.32	321.34	356.23	15836	1.790	1.670
321-U1337D-36X-5,92-94	321.430	321.42	321.44	356.33	15840	1.630	1.680
321-U1337D-36X-5,102-104	321.530	321.52	321.54	356.43	15844	1.660	1.740
321-U1337D-36X-5,112-114	321.630	321.62	321.64	356.53	15848	1.700	1.710
321-U1337D-36X-5,122-124	321.730	321.72	321.74	356.63	15852	1.680	1.660
321-U1337C-20X-2,142-144	320.230	320.22	320.24	356.73	15856	1.560	1.669
321-U1337C-20X-3,2-4	320.330	320.32	320.34	356.83	15860	1.717	1.470
321-U1337C-20X-3,12-14	320.430	320.42	320.44	356.93	15864	1.636	1.453
321-U1337C-20X-3,22-24	320.530	320.52	320.54	357.03	15868	1.534	1.394
321-U1337C-20X-3,32-34	320.630	320.62	320.64	357.13	15872	1.600	1.449
321-U1337C-20X-3,42-44	320.730	320.72	320.74	357.23	15876	1.770	1.540
321-U1337C-20X-3,50-52	320.810	320.80	320.82	357.31	15880	1.669	1.627
321-U1337C-20X-3,62-64	320.930	320.92	320.94	357.43	15884	1.404	1.202
321-U1337C-20X-3,70-72	321.010	321.00	321.02	357.51	15888	1.817	1.303
321-U1337C-20X-3,82-84	321.130	321.12	321.14	357.63	15893	1.337	0.999
321-U1337C-20X-3,94-96	321.250	321.24	321.26	357.75	15899	1.548	1.777
321-U1337C-20X-3,102-104	321.330	321.32	321.34	357.83	15903	1.409	1.486
321-U1337C-20X-3,112-114	321.430	321.42	321.44	357.93	15908	1.579	1.850
321-U1337C-20X-3,122-124	321.530	321.52	321.54	358.03	15913	1.568	1.281
321-U1337C-20X-3,133-135	321.640	321.63	321.65	358.14	15919	1.610	1.784
321-U1337C-20X-3,139-141	321.700	321.69	321.71	358.20	15922	1.560	1.380
321-U1337C-20X-4,1-3	321.820	321.81	321.83	358.32	15928	1.580	1.860
321-U1337C-20X-4,12-14	321.930	321.92	321.94	358.42	15933	1.634	1.655
321-U1337C-20X-4,25-27	322.060	322.05	322.07	358.55	15940	1.562	1.642
321-U1337C-20X-4,32-34	322.130	322.12	322.14	358.62	15944	1.710	1.490
321-U1337C-20X-4,42-44	322.230	322.22	322.24	358.72	15949	1.574	1.614
321-U1337C-20X-4,52-54	322.330	322.32	322.34	358.82	15954	1.479	1.566
321-U1337C-20X-4,62-64	322.430	322.42	322.44	358.92	15959	1.459	1.430
321-U1337C-20X-4,72-74	322.530	322.52	322.54	359.02	15964	1.257	1.543
321-U1337C-20X-4,82-84	322.630	322.62	322.64	359.12	15970	1.285	1.373
321-U1337C-20X-4,90-92	322.710	322.70	322.72	359.20	15974	1.292	1.427
321-U1337C-20X-4,102-104	322.830	322.82	322.84	359.32	15980	1.001	1.012
321-U1337C-20X-4,112-114	322.930	322.92	322.94	359.42	15985	1.052	0.927
321-U1337C-20X-4,122-124	323.030	323.02	323.04	359.52	15990	1.298	1.119
321-U1337C-20X-4,132-134	323.130	323.12	323.14	359.62	15996	1.002	0.703
321-U1337C-20X-5,3-5	323.340	323.33	323.35	359.83	16006	1.163	0.732
321-U1337C-20X-5,12-14	323.430	323.42	323.44	359.92	16011	1.081	0.691
321-U1337C-20X-5,22-24	323.530	323.52	323.54	360.02	16017	0.986	0.857
321-U1337C-20X-5,33-35	323.640	323.63	323.65	360.13	16023	1.510	1.633
321-U1337C-20X-5,42-44	323.730	323.72	323.74	360.22	16028	1.605	1.677
321-U1337C-20X-5,52-54	323.830	323.82	323.84	360.32	16034	1.435	1.358
321-U1337C-20X-5,62-64	323.930	323.92	323.94	360.42	16039	1.398	1.305
321-U1337C-20X-5,72-74	324.030	324.02	324.04	360.52	16045	1.466	1.347
321-U1337C-20X-5,80-82	324.110	324.10	324.12	360.60	16049	1.463	1.164
321-U1337C-20X-5,89-91	324.200	324.19	324.21	360.69	16054	1.659	1.390
321-U1337C-20X-5,98-100	324.290	324.28	324.30	360.78	16059	1.459	1.444
321-U1337C-20X-5,107-109	324.380	324.37	324.39	360.87	16065	1.477	1.353
321-U1337C-20X-5,122-124	324.530	324.52	324.54	361.02	16073	1.500	1.298
321-U1337C-20X-5,132-134	324.630	324.62	324.64	361.12	16079	1.480	1.184
321-U1337C-20X-5,142-144	324.730	324.72	324.74	361.22	16084	1.534	1.353
321-U1337C-20X-6,2-4	324.830	324.82	324.84	361.32	16090	1.624	1.416
321-U1337C-20X-6,12-14	324.930	324.92	324.94	361.42	16095	1.752	1.414
321-U1337C-20X-6,21-23	325.020	325.01	325.03	361.51	16100	1.722	1.465
321-U1337C-20X-6,32-34	325.130	325.12	325.14	361.62	16107	1.511	1.010
321-U1337C-20X-6,42-44	325.230	325.22	325.24	361.72	16112	1.511	1.133
